dish_1558461792,331.0,233.0,20.195999,34.499001,10.543
dish_1558549150,45.540001,66.0,0.132,11.88,0.462
dish_1558637698,12.25,49.0,0.147,2.45,0.882
dish_1558719401,51.988998,49.0,1.176,10.78,1.519
dish_1558723926,19.26,107.0,0.214,4.173,0.963
dish_1559157919,37.094574,39.0,3.328461,1.523364,0.990958
dish_1561148481,281.281128,140.0,14.385699,18.905287,18.591501
dish_1561492182,250.165695,171.0,7.306371,40.08807,6.884981
dish_1561493975,130.851608,106.0,12.434031,4.267878,2.54384
dish_1561580659,754.353577,480.0,43.801662,16.297264,68.890678
dish_1561661347,50.669998,132.0,1.632,7.215,3.426
dish_1561661479,242.17569,166.0,10.854464,13.715836,21.488853
dish_1562010315,671.106934,477.0,38.237114,19.743494,61.929153
dish_1562172643,734.269958,457.0,42.559998,17.648001,62.869999
dish_1562617370,155.099991,55.0,6.6,17.6,6.6
dish_1562774159,90.76355,129.0,3.002097,15.496128,1.955
dish_1562872396,179.563156,186.0,5.108879,3.96911,28.588114
dish_1562872914,135.399673,124.0,15.276352,5.087451,15.873218
dish_1563308323,27.059999,66.0,0.132,6.6,0.594
dish_1563309315,613.17688,462.0,19.933886,13.225592,91.96595
dish_1563465805,32.43,23.0,1.564,4.14,0.483
dish_1563477659,26.551344,52.0,0.665319,4.611115,1.741009
dish_1564432238,455.387939,315.0,23.15468,34.854778,28.074873
dish_1564589025,48.810734,51.0,1.243902,8.956099,0.497561
dish_1565118067,623.429932,522.0,12.966,41.417,82.112991
dish_1565118729,435.493286,248.0,24.26512,9.017551,41.902988
dish_1565640601,411.151825,333.0,18.675562,13.240899,46.487823
dish_1565725095,121.720001,257.0,5.134,19.185001,3.149
dish_1565987015,14.72,64.0,0.256,2.304,1.856
dish_1566328894,236.650986,89.0,8.366,29.815001,9.968
dish_1566332085,24.75,163.0,0.26,4.3,2.865
dish_1566922978,124.32,84.0,9.24,1.344,8.400001
dish_1566934401,435.902863,344.0,39.532818,26.532497,48.19104
dish_1567110783,465.307892,210.0,24.372978,18.846014,38.940533
dish_1567613057,406.68631,749.0,4.968488,45.862511,40.6982
dish_1572021506,0.0,193.0,0.0,0.0,0.0
